employer,job_title,country,work_location,wage,status,year
TechNova Inc,Software Engineer,India,San Francisco CA,172000,Certified,2023
TechNova Inc,Data Engineer,India,Austin TX,161000,Certified,2023
Apex Systems,Analyst,Canada,Chicago IL,98000,Denied,2023
Cloud Orbit,ML Engineer,China,Seattle WA,184500,Certified,2023
Cloud Orbit,Data Scientist,Brazil,Seattle WA,176000,Certified,2022
Pioneer Health,Biostatistician,India,Boston MA,142000,Certified,2022
Pioneer Health,Clinical Analyst,Mexico,Boston MA,95000,Denied,2022
FinAxis,Quant Developer,UK,New York NY,210000,Certified,2023
FinAxis,Risk Analyst,UK,New York NY,138000,Certified,2022
Metro Grid,Civil Engineer,Philippines,Denver CO,112000,Denied,2023
Skybound AI,Research Scientist,India,San Jose CA,196000,Certified,2023
Skybound AI,Platform Engineer,Canada,San Jose CA,168000,Certified,2023
Orchid Labs,UX Designer,France,Remote,124000,Certified,2021
Orchid Labs,Product Manager,Germany,Remote,150000,Certified,2022
Orchid Labs,QA Engineer,Brazil,Remote,108000,Denied,2023
NexTel,Telecom Engineer,India,Dallas TX,128000,Certified,2021
NexTel,Network Architect,India,Dallas TX,170000,Certified,2023
Gravita Motors,Mechanical Engineer,Japan,Detroit MI,134000,Denied,2021
Gravita Motors,Embedded Engineer,Japan,Detroit MI,156000,Certified,2022
Blue Maple,Business Analyst,Canada,Atlanta GA,101000,Certified,2021
